"amount","project_number","report_fy","budget_cycle","fund_type","fund_number","asset_owning_dept","project_name","account","account_number"
"1000000","AIH00002","23","adopted","Infrastructure Fund","C100012","Transportation","Street Light Circuit Upgrades","Undistributed Budget","512117"
"7000000","AIK00003","23","adopted","Infrastructure Fund","C100012","Transportation","Sidewalk Repair and Reconstruction","Undistributed Budget","512117"
"450000","AIL00001","23","adopted","Infrastructure Fund","C100012","Transportation","Traffic Calming","Undistributed Budget","512117"
"250000","P23000","23","adopted","Infrastructure Fund","C100012","Parks & Recreation","North Park Community Park Dog Park","Undistributed Budget","512117"
"250000","P23001","23","adopted","Infrastructure Fund","C100012","Parks & Recreation","Grape Street Dog Park Improvements","Undistributed Budget","512117"
"750000","P23002","23","adopted","Infrastructure Fund","C100012","Parks & Recreation","Old Mission Dam Dredging","Undistributed Budget","512117"
"750000","P23003","23","adopted","Infrastructure Fund","C100012","Parks & Recreation","Mt. Hope Rec Ctr Dennis V Allen Park","Undistributed Budget","512117"
"950000","S14017","23","adopted","Infrastructure Fund","C100012","Fire-Rescue","Fire Station No. 51 - Skyline Hills","Undistributed Budget","512117"
"1000000","S14018","23","adopted","Infrastructure Fund","C100012","Fire-Rescue","Home Avenue Fire Station","Undistributed Budget","512117"
"2000000","S15028","23","adopted","Infrastructure Fund","C100012","Parks & Recreation","Olive Grove Community Park ADA Improve","Undistributed Budget","512117"
"2850000","S15031","23","adopted","Infrastructure Fund","C100012","Parks & Recreation","Egger/South Bay Community Park ADA Improvements","Undistributed Budget","512117"
"3473439","S15040","23","adopted","Infrastructure Fund","C100012","Parks & Recreation","Golf Course Drive Improvements","Undistributed Budget","512117"
"1550908","S16047","23","adopted","Infrastructure Fund","C100012","Parks & Recreation","Canon Street Pocket Park","Undistributed Budget","512117"
"4599146","AGF00007","23","adopted","General Fund - Other","C100015","Parks & Recreation","Park Improvements","Undistributed Budget","512117"
"2005100","AIH00001","23","adopted","General Fund - Other","C100015","Transportation","Installation of City Owned Street Lights","Undistributed Budget","512117"
"800000","AIL00001","23","adopted","General Fund - Other","C100015","Transportation","Traffic Calming","Undistributed Budget","512117"
"6993631","AID00005","23","adopted","Gas Tax Fund","C200118","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"2000000","AID00005","23","adopted","Trench Cut/Excavation Fee Fund","C200203","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"5000000","AID00001","23","adopted","Utilities Undergrounding Program Fund","C200218","Transportation","Utilities Undergrounding Program","Undistributed Budget","512117"
"7566612","AGF00004","23","adopted","Mission Bay Park Improvement Fund","C200386","Parks & Recreation","Mission Bay Improvements","Undistributed Budget","512117"
"680000","ABT00001","23","adopted","San Diego Regional Parks Improvement Fund","C200391","General Services","City Facilities Improvements","Undistributed Budget","512117"
"500000","AGE00001","23","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Resource-Based Open Space Parks","Undistributed Budget","512117"
"725000","AGF00006","23","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Coastal Erosion and Access","Undistributed Budget","512117"
"287165","AGF00007","23","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Park Improvements","Undistributed Budget","512117"
"1095000","L14005","23","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Sunset Cliffs Park Drainage Improvements","Undistributed Budget","512117"
"287164","L18001","23","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Chollas Lake Improvements","Undistributed Budget","512117"
"500000","S15034","23","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Junipero Serra Museum ADA Improvements","Undistributed Budget","512117"
"425000","S10050","23","adopted","Capital Outlay - Land Sales","C400002","Parks & Recreation","North Park Mini Park & Streetscape Improvements","Undistributed Budget","512117"
"20774","RD20007","23","adopted","Facilities Benefit Assessments","C400091","Transportation","W Bernardo Dr at Bernardo Ctr Dr Inter","Undistributed Budget","512117"
"181437","S15018","23","adopted","Facilities Benefit Assessments","C400092","Transportation","La Media Road Improvements","Undistributed Budget","512117"
"71119","S15018","23","adopted","Development Impact Fees","C400100","Transportation","La Media Road Improvements","Undistributed Budget","512117"
"400000","S14018","23","adopted","Development Impact Fees","C400114","Fire-Rescue","Home Avenue Fire Station","Undistributed Budget","512117"
"1550000","ACA00001","23","adopted","TransNet Funds","C400169","Stormwater","Drainage Projects","Undistributed Budget","512117"
"2100000","AIA00001","23","adopted","TransNet Funds","C400169","Transportation","Minor Bike Facilities","Undistributed Budget","512117"
"6667681","AID00005","23","adopted","TransNet Funds","C400169","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"8175000","AIG00001","23","adopted","TransNet Funds","C400169","Transportation","Median Installation","Undistributed Budget","512117"
"650000","AIH00001","23","adopted","TransNet Funds","C400169","Transportation","Installation of City Owned Street Lights","Undistributed Budget","512117"
"789000","AIK00001","23","adopted","TransNet Funds","C400169","Transportation","New Walkways","Undistributed Budget","512117"
"200000","AIL00001","23","adopted","TransNet Funds","C400169","Transportation","Traffic Calming","Undistributed Budget","512117"
"2360850","AIL00004","23","adopted","TransNet Funds","C400169","Transportation","Traffic Signals - Citywide","Undistributed Budget","512117"
"750000","AIL00005","23","adopted","TransNet Funds","C400169","Transportation","Traffic Signals Modification","Undistributed Budget","512117"
"200000","P23004","23","adopted","TransNet Funds","C400169","Transportation","Spruce St Bridge Rehab","Undistributed Budget","512117"
"1940063","S15018","23","adopted","TransNet Funds","C400169","Transportation","La Media Road Improvements","Undistributed Budget","512117"
"1250000","S22006","23","adopted","TransNet Funds","C400169","Transportation","La Media Improv-Siempre Viva to Truck Rte","Undistributed Budget","512117"
"1200000","S23006","23","adopted","TransNet Funds","C400169","Transportation","Sunset Cliffs Seawall Improvement","Undistributed Budget","512117"
"3755000","ABT00001","23","adopted","General Fund","C400265","General Services","City Facilities Improvements","Undistributed Budget","512117"
"13200000","ACA00001","23","adopted","General Fund","C400265","Stormwater","Drainage Projects","Undistributed Budget","512117"
"8845265","ACC00001","23","adopted","General Fund","C400265","Stormwater","Watershed CIP","Undistributed Budget","512117"
"100000","AGF00006","23","adopted","General Fund","C400265","Parks & Recreation","Coastal Erosion and Access","Undistributed Budget","512117"
"2251000","AID00005","23","adopted","General Fund","C400265","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"281300","AIE00002","23","adopted","General Fund","C400265","Transportation","Guard Rails","Undistributed Budget","512117"
"250000","AIL00001","23","adopted","General Fund","C400265","Transportation","Traffic Calming","Undistributed Budget","512117"
"500000","AIL00004","23","adopted","General Fund","C400265","Transportation","Traffic Signals - Citywide","Undistributed Budget","512117"
"750000","L20000","23","adopted","General Fund","C400265","Parks & Recreation","Rancho Bernardo CP Improvements","Undistributed Budget","512117"
"250000","P22003","23","adopted","General Fund","C400265","Transportation","Barrio Logan Traffic Calming Truck Route","Undistributed Budget","512117"
"350000","P22007","23","adopted","General Fund","C400265","Transportation","S. Bancroft & Greely Unimproved Street","Undistributed Budget","512117"
"500000","P23005","23","adopted","General Fund","C400265","Parks & Recreation","Marie Widman Memorial Park GDP","Undistributed Budget","512117"
"2200000","S00752","23","adopted","General Fund","C400265","Parks & Recreation","Beyer Park Development","Undistributed Budget","512117"
"1500000","S00800","23","adopted","General Fund","C400265","Library","San Carlos Branch Library","Undistributed Budget","512117"
"982856","S22008","23","adopted","General Fund","C400265","Public Utilities","Upper Auburn Creek Revitalization Project","Undistributed Budget","512117"
"982855","S22009","23","adopted","General Fund","C400265","Stormwater","Chollas Creek Restoration 54th St & Euclid Ave","Undistributed Budget","512117"
"2500000","S22015","23","adopted","General Fund","C400265","Stormwater","Pump Station D Upgrade","Undistributed Budget","512117"
"1000000","S23007","23","adopted","General Fund","C400265","Citywide","Convoy District Gateway Sign","Undistributed Budget","512117"
"3640","RD20000","23","adopted","Facilities Benefit Assessments","C400856","Transportation","Playa del Sol Parkway","Undistributed Budget","512117"
"433320","ABT00003","23","adopted","Sewer Funds","C700008","Sustainability & Mobility","Citywide Energy Improvements","Undistributed Budget","512117"
"66884337","AJA00001","23","adopted","Sewer Funds","C700008","Public Utilities","Sewer Main Replacements","Undistributed Budget","512117"
"4369229","AJA00002","23","adopted","Sewer Funds","C700008","Public Utilities","Pipeline Rehabilitation","Undistributed Budget","512117"
"2200000","AJB00001","23","adopted","Sewer Funds","C700008","Public Utilities","Metropolitan Waste Water Department Trunk Sewers","Undistributed Budget","512117"
"550000","ATT00002","23","adopted","Sewer Funds","C700008","Department of Information Technology","Enterprise Funded IT Projects","Undistributed Budget","512117"
"1469000","L22000","23","adopted","Sewer Funds","C700008","Public Utilities","Alvarado Laboratory Improvements","Undistributed Budget","512117"
"16000000","S15020","23","adopted","Sewer Funds","C700008","Public Utilities","Tecolote Canyon Trunk Sewer Improvement","Undistributed Budget","512117"
"5454999","S18006","23","adopted","Sewer Funds","C700008","Public Utilities","Harbor Drive Trunk Sewer","Undistributed Budget","512117"
"300000","S20000","23","adopted","Sewer Funds","C700008","Public Utilities","Kearny Mesa Trunk Sewer","Undistributed Budget","512117"
"4000000","S22014","23","adopted","Sewer Funds","C700008","Public Utilities","Murphy Canyon Trunk Sewer Repair/Rehab","Undistributed Budget","512117"
"14110687","ABO00001","23","adopted","Sewer Funds","C700009","Public Utilities","Metro Treatment Plants","Undistributed Budget","512117"
"1620000","ABP00002","23","adopted","Sewer Funds","C700009","Public Utilities","Metropolitan System Pump Stations","Undistributed Budget","512117"
"565200","ABT00003","23","adopted","Sewer Funds","C700009","Sustainability & Mobility","Citywide Energy Improvements","Undistributed Budget","512117"
"97000000","ALA00001","23","adopted","Sewer Funds","C700009","Public Utilities","PURE Water Program","Undistributed Budget","512117"
"13680000","ALA00002","23","adopted","Sewer Funds","C700009","Public Utilities","Pure Water Phase 2","Undistributed Budget","512117"
"5859288","ATT00002","23","adopted","Sewer Funds","C700009","Department of Information Technology","Enterprise Funded IT Projects","Undistributed Budget","512117"
"2446000","L22000","23","adopted","Sewer Funds","C700009","Public Utilities","Alvarado Laboratory Improvements","Undistributed Budget","512117"
"17000000","P19002","23","adopted","Sewer Funds","C700009","Public Utilities","Pure Water Pooled Contingency","Undistributed Budget","512117"
"6927936","S17012","23","adopted","Sewer Funds","C700009","Public Utilities","NCWRP Improvements to 30 mgd","Undistributed Budget","512117"
"6245622","S17013","23","adopted","Sewer Funds","C700009","Public Utilities","MBC Equipment Upgrades","Undistributed Budget","512117"
"3000000","S21003","23","adopted","Sewer Funds","C700009","Public Utilities","Enviro Monitoring Tech Svcs Div Lab Remodel at NTC","Undistributed Budget","512117"
"500000","S22001","23","adopted","Sewer Funds","C700009","Public Utilities","North/South Metro Interceptors Rehabilitation","Undistributed Budget","512117"
"1000000","ABI00001","23","adopted","Water Fund","C700010","Public Utilities","Water Treatment Plants","Undistributed Budget","512117"
"2300000","ABL00001","23","adopted","Water Fund","C700010","Public Utilities","Standpipe and Reservoir Rehabilitations","Undistributed Budget","512117"
"1548980","ABT00003","23","adopted","Water Fund","C700010","Sustainability & Mobility","Citywide Energy Improvements","Undistributed Budget","512117"
"200000","AKA00002","23","adopted","Water Fund","C700010","Public Utilities","Pressure Reduction Facility Upgrades","Undistributed Budget","512117"
"10898319","AKA00003","23","adopted","Water Fund","C700010","Public Utilities","Large Diameter Water Transmission PPL","Undistributed Budget","512117"
"98897872","AKB00003","23","adopted","Water Fund","C700010","Public Utilities","Water Main Replacements","Undistributed Budget","512117"
"179000000","ALA00001","23","adopted","Water Fund","C700010","Public Utilities","PURE Water Program","Undistributed Budget","512117"
"22320000","ALA00002","23","adopted","Water Fund","C700010","Public Utilities","Pure Water Phase 2","Undistributed Budget","512117"
"1940000","L22000","23","adopted","Water Fund","C700010","Public Utilities","Alvarado Laboratory Improvements","Undistributed Budget","512117"
"20000000","P19002","23","adopted","Water Fund","C700010","Public Utilities","Pure Water Pooled Contingency","Undistributed Budget","512117"
"6200000","S10008","23","adopted","Water Fund","C700010","Public Utilities","El Monte Pipeline No 2","Undistributed Budget","512117"
"1250000","S12011","23","adopted","Water Fund","C700010","Public Utilities","69th & Mohawk Pump Station","Undistributed Budget","512117"
"3000000","S12012","23","adopted","Water Fund","C700010","Public Utilities","Cielo & Woodman Pump Station","Undistributed Budget","512117"
"35500000","S12013","23","adopted","Water Fund","C700010","Public Utilities","Alvarado 2nd Extension Pipeline","Undistributed Budget","512117"
"7750000","S15016","23","adopted","Water Fund","C700010","Public Utilities","Otay Second Pipeline Relocation-PA","Undistributed Budget","512117"
"12077110","S16027","23","adopted","Water Fund","C700010","Public Utilities","Morena Pipeline","Undistributed Budget","512117"
"2518020","S17012","23","adopted","Water Fund","C700010","Public Utilities","NCWRP Improvements to 30 mgd","Undistributed Budget","512117"
"2000000","S21000","23","adopted","Water Fund","C700010","Public Utilities","Otay 2nd Pipeline St Replacement Ph 5","Undistributed Budget","512117"
"500000","S21004","23","adopted","Water Fund","C700010","Public Utilities","Rancho Bernardo Industrial Pump Stn Repl","Undistributed Budget","512117"
"5617782","S22003","23","adopted","Water Fund","C700010","Public Utilities","Lakeside Valve Station Replacement","Undistributed Budget","512117"
"1328709","S22013","23","adopted","Water Fund","C700010","Public Utilities","Dams & Reservoirs Security Improvements","Undistributed Budget","512117"
"500000","S23000","23","adopted","Water Fund","C700010","Public Utilities","El Camino Real Pipeline","Undistributed Budget","512117"
"500000","S23001","23","adopted","Water Fund","C700010","Public Utilities","Kearny Villa Rd Pipeline","Undistributed Budget","512117"
"500000","S23002","23","adopted","Water Fund","C700010","Public Utilities","Lake Hodges Dam Replacement","Undistributed Budget","512117"
"500000","S23003","23","adopted","Water Fund","C700010","Public Utilities","Otay Water Treatment Plant Upgrade Ph 3","Undistributed Budget","512117"
"500000","S23004","23","adopted","Water Fund","C700010","Public Utilities","South San Diego Reservoir Replacement","Undistributed Budget","512117"
"2500000","T22001","23","adopted","Water Fund","C700010","Public Utilities","Water SCADA IT Upgrades","Undistributed Budget","512117"
"700000","AAA00001","23","adopted","Airport Funds","C700030","Airport Management","Montgomery-Gibbs Executive Airport","Undistributed Budget","512117"
"3100000","AFA00001","23","adopted","Refuse Disposal Fund","C700040","Environmental Services","Minor Improvements to Landfills","Undistributed Budget","512117"
"2000000","S23005","23","adopted","Golf Course Enterprise Fund","C700045","Parks & Recreation","Torrey Pines GC Clubhouse & Maintenance","Undistributed Budget","512117"
"6200000","L17000","23","adopted","Recycling Fund","C700049","Environmental Services","Miramar Landfill Facility Improvements","Undistributed Budget","512117"
"50000","S00826","12","adopted","Maintenance Assessment Districts","C200050","Parks & Recreation","El Cajon Blvd Streetscape Improvements","Undistributed Budget","512117"
"65000","S10038","12","adopted","Maintenance Assessment Districts","C200060","Parks & Recreation","Del Mar Terrace Street Improvements","Undistributed Budget","512117"
"5000","S10054","12","adopted","Maintenance Assessment Districts","C200064","Parks & Recreation","Switzer Canyon Bridge Enhancement Prog","Undistributed Budget","512117"
"25000","S11009","12","adopted","Maintenance Assessment Districts","C200074","Parks & Recreation","Torrey Highlands Community ID & Enhance","Undistributed Budget","512117"
"113101","L12001","12","adopted","Maintenance Assessment Districts","C200077","Parks & Recreation","Talmadge Historic Gates","Undistributed Budget","512117"
"15000000","AID00001","12","adopted","Utilities Undergrounding Program Fund","C200218","Transportation","Utilities Undergrounding Program","Undistributed Budget","512117"
"33085","S10131","12","adopted","Energy Conservation Program Fund","C200225","Police","Police HQs CoGeneration Repower Project","Undistributed Budget","512117"
"100000","S11034","12","adopted","Concourse & Parking Garages Operating Fund","C200300","Real Estate Assets","Evan V. Jones Parkade Parking Equipment Upgrade","Undistributed Budget","512117"
"2281433","AGF00005","12","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Regional Park Improvements","Undistributed Budget","512117"
"211243","S11008","12","adopted","Maintenance Assessment Districts","C200614","Parks & Recreation","Mission Hills Historic Street Lighting","Undistributed Budget","512117"
"135673","L12000","12","adopted","Maintenance Assessment Districts","C200622","Parks & Recreation","Convert RB Medians-Asphalt to Concrete","Undistributed Budget","512117"
"175000","S10035","12","adopted","Maintenance Assessment Districts","C200622","Parks & Recreation","Pomerado Median Improve-N of R Bernardo","Undistributed Budget","512117"
"45367","S10036","12","adopted","Maintenance Assessment Districts","C200622","Parks & Recreation","Welcome to Rancho Bernardo Signs","Undistributed Budget","512117"
"50000","S12006","12","adopted","Maintenance Assessment Districts","C200622","Parks & Recreation","Rancho Bernardo Streetscape-Phase I","Undistributed Budget","512117"
"30000","S10037","12","adopted","Maintenance Assessment Districts","C200624","Parks & Recreation","Camino Santa Fe Median Improvements","Undistributed Budget","512117"
"1822864","S10118","12","adopted","Capital Outlay - Police Decentralization Land Sales","C400006","Police","Police Range Refurbishment","Undistributed Budget","512117"
"107000","S12001","12","adopted","Development Impact Fees","C400110","Parks & Recreation","McKinley Elementary School JU Improvemts","Undistributed Budget","512117"
"3000000","S00688","12","adopted","Development Impact Fees","C400135","Fire-Rescue","Fire Station No. 45 - E Mission Valley","Undistributed Budget","512117"
"5075500","S00851","12","adopted","Development Impact Fees","C400135","Transportation","SR 163/Friars Road","Undistributed Budget","512117"
"824918","ACA00001","12","adopted","TransNet Funds","C400169","Stormwater","Drainage Projects","Undistributed Budget","512117"
"15000","AIA00001","12","adopted","TransNet Funds","C400169","Transportation","Minor Bike Facilities","Undistributed Budget","512117"
"300000","AID00002","12","adopted","TransNet Funds","C400169","Transportation","Transportation Grant Match","Undistributed Budget","512117"
"50000","AID00003","12","adopted","TransNet Funds","C400169","Transportation","Five Year CIP Planning","Undistributed Budget","512117"
"297000","AIG00001","12","adopted","TransNet Funds","C400169","Transportation","Median Installation","Undistributed Budget","512117"
"100000","AIH00001","12","adopted","TransNet Funds","C400169","Transportation","Installation of City Owned Street Lights","Undistributed Budget","512117"
"375000","AIK00001","12","adopted","TransNet Funds","C400169","Transportation","New Walkways","Undistributed Budget","512117"
"200000","AIK00002","12","adopted","TransNet Funds","C400169","Transportation","School Traffic Safety Improvements","Undistributed Budget","512117"
"200000","AIL00001","12","adopted","TransNet Funds","C400169","Transportation","Traffic Calming","Undistributed Budget","512117"
"150000","AIL00002","12","adopted","TransNet Funds","C400169","Transportation","Install T/S Interconnect Systems","Undistributed Budget","512117"
"450000","AIL00004","12","adopted","TransNet Funds","C400169","Transportation","Traffic Signals - Citywide","Undistributed Budget","512117"
"850000","AIL00005","12","adopted","TransNet Funds","C400169","Transportation","Traffic Signals Modification","Undistributed Budget","512117"
"75000","AIL00010","12","adopted","TransNet Funds","C400169","Transportation","Replace Obsolete T/S Controllers","Undistributed Budget","512117"
"1468369","S00602","12","adopted","TransNet Funds","C400169","Transportation","Juan Street Concrete Street","Undistributed Budget","512117"
"300000","S00724","12","adopted","TransNet Funds","C400169","Transportation","Otay Mesa Truck Route Phase 3","Undistributed Budget","512117"
"5378531","S00851","12","adopted","TransNet Funds","C400169","Transportation","SR 163/Friars Road","Undistributed Budget","512117"
"25000","S00859","12","adopted","TransNet Funds","C400169","Transportation","Carmel Valley Road Enhancement Project","Undistributed Budget","512117"
"200000","S00864","12","adopted","TransNet Funds","C400169","Transportation","Streamview Drive Improvements","Undistributed Budget","512117"
"100000","S00871","12","adopted","TransNet Funds","C400169","Transportation","W Mission Bay Dr Bridge Over SD River","Undistributed Budget","512117"
"540000","S00877","12","adopted","TransNet Funds","C400169","Transportation","Torrey Pines Road Slope Restoration","Undistributed Budget","512117"
"2255000","S00913","12","adopted","TransNet Funds","C400169","Transportation","Palm Avenue Roadway Improvements","Undistributed Budget","512117"
"400000","S00935","12","adopted","TransNet Funds","C400169","Transportation","N Torrey Pines Rd Bridge/ Los Penasquitos","Undistributed Budget","512117"
"150000","S00944","12","adopted","TransNet Funds","C400169","Transportation","Bayshore Bikeway","Undistributed Budget","512117"
"700000","S00985","12","adopted","TransNet Funds","C400169","Transportation","25th Street Renaissance Project","Undistributed Budget","512117"
"300000","S11060","12","adopted","TransNet Funds","C400169","Transportation","Otay Mesa Truck Route Phase 4","Undistributed Budget","512117"
"69475","S10032","12","adopted","Developer Funding","C400192","Parks & Recreation","Rancho Penasquitos Monument Signs","Undistributed Budget","512117"
"320000","S12002","12","adopted","Developer Funding","C400221","Parks & Recreation","Rancho Penasquitos Skate Park","Undistributed Budget","512117"
"75000","S12003","12","adopted","Developer Funding","C400221","Parks & Recreation","Rancho Penasquitos Towne Centre Park Imp","Undistributed Budget","512117"
"300000","S12004","12","adopted","Developer Funding","C400221","Parks & Recreation","Canyonside Community Park Improvements","Undistributed Budget","512117"
"156676","S00838","12","adopted","Donations","C400264","Transportation","Scripps Ranch/Mira Mesa Medians Project","Undistributed Budget","512117"
"1531029","ABE00001","12","adopted","General Fund","C400265","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"500082","ACA00001","12","adopted","General Fund","C400265","Stormwater","Drainage Projects","Undistributed Budget","512117"
"799918","ACC00001","12","adopted","General Fund","C400265","Stormwater","Watershed CIP","Undistributed Budget","512117"
"1700000","L12002","12","adopted","General Fund","C400265","Fire-Rescue","SDFD Station Alerting","Undistributed Budget","512117"
"900000","S12021","12","adopted","General Fund","C400265","Department of Information Technology","Supplier Relationship Management - SAP","Undistributed Budget","512117"
"141000","S11006","12","adopted","Developer Funding","C400269","Parks & Recreation","Torrey Hills SDG&E Easement Enhancement","Undistributed Budget","512117"
"300000","ABT00001","12","adopted","Deferred Capital Projects Bonds","C400624","General Services","City Facilities Improvements","Undistributed Budget","512117"
"175000","S10042","12","adopted","Fleet Services Internal Service Fund","C400676","General Services","Fitting Facility Expansion","Undistributed Budget","512117"
"1173400","ABP00003","12","adopted","Sewer Funds","C700008","Public Utilities","Pump Station 64,65, Penasquitos, E Mission Gorge","Undistributed Budget","512117"
"30000000","AJA00001","12","adopted","Sewer Funds","C700008","Public Utilities","Sewer Main Replacements","Undistributed Budget","512117"
"13020462","AJB00001","12","adopted","Sewer Funds","C700008","Public Utilities","Metropolitan Waste Water Department Trunk Sewers","Undistributed Budget","512117"
"3926100","S00308","12","adopted","Sewer Funds","C700008","Public Utilities","PS 84 Upgrade & PS 62 Abandon","Undistributed Budget","512117"
"4000000","S00336","12","adopted","Sewer Funds","C700008","Public Utilities","Harbor Drive Trunk Sewer Replacement","Undistributed Budget","512117"
"1409814","S11100","12","adopted","Sewer Funds","C700008","Public Utilities","CIS ERP Implementation","Undistributed Budget","512117"
"700000","L10000","12","adopted","Sewer Funds","C700009","Public Utilities","Metro Facilities Control Systems Upgrade","Undistributed Budget","512117"
"250000","S00312","12","adopted","Sewer Funds","C700009","Public Utilities","PS2 Power Reliability & Surge Protection","Undistributed Budget","512117"
"3750000","S00315","12","adopted","Sewer Funds","C700009","Public Utilities","Point Loma Grit Processing Improvements","Undistributed Budget","512117"
"5294557","S00322","12","adopted","Sewer Funds","C700009","Public Utilities","MBC Biosolids Storage Silos","Undistributed Budget","512117"
"8823952","ABJ00001","12","adopted","Water Fund","C700010","Public Utilities","Water Pump Station Restoration","Undistributed Budget","512117"
"824304","ABK00001","12","adopted","Water Fund","C700010","Public Utilities","Dams and Reservoirs","Undistributed Budget","512117"
"4486986","ABL00001","12","adopted","Water Fund","C700010","Public Utilities","Standpipe and Reservoir Rehabilitations","Undistributed Budget","512117"
"900000","ABM00001","12","adopted","Water Fund","C700010","Public Utilities","Groundwater Asset Development Program","Undistributed Budget","512117"
"500000","AKA00002","12","adopted","Water Fund","C700010","Public Utilities","Pressure Reduction Facility Upgrades","Undistributed Budget","512117"
"250000","AKB00002","12","adopted","Water Fund","C700010","Public Utilities","Freeway Relocation","Undistributed Budget","512117"
"39912978","AKB00003","12","adopted","Water Fund","C700010","Public Utilities","Water Main Replacements","Undistributed Budget","512117"
"150000","S00018","12","adopted","Water Fund","C700010","Public Utilities","South Bay Reclamation System","Undistributed Budget","512117"
"200000","S00019","12","adopted","Water Fund","C700010","Public Utilities","Harbor Drive Pipeline","Undistributed Budget","512117"
"67505","S00041","12","adopted","Water Fund","C700010","Public Utilities","Morena Reservoir Outlet Tower Upgrade","Undistributed Budget","512117"
"1000000","S10008","12","adopted","Water Fund","C700010","Public Utilities","El Monte Pipeline No 2","Undistributed Budget","512117"
"400000","S10013","12","adopted","Water Fund","C700010","Public Utilities","Barrett Flume Cover","Undistributed Budget","512117"
"7887022","S10123","12","adopted","Water Fund","C700010","Public Utilities","Water Group Job 915 (3012)","Undistributed Budget","512117"
"560000","S11021","12","adopted","Water Fund","C700010","Public Utilities","University Ave Pipeline Replacement","Undistributed Budget","512117"
"1575000","S11022","12","adopted","Water Fund","C700010","Public Utilities","Upas St Pipeline Replacement","Undistributed Budget","512117"
"2200000","S11025","12","adopted","Water Fund","C700010","Public Utilities","Chollas Building","Undistributed Budget","512117"
"363562","S11026","12","adopted","Water Fund","C700010","Public Utilities","Montezuma/Mid-City Pipeline Phase II","Undistributed Budget","512117"
"1000000","S11027","12","adopted","Water Fund","C700010","Public Utilities","Otay 1st/2nd PPL Abandon E of Highland","Undistributed Budget","512117"
"1409814","S11100","12","adopted","Water Fund","C700010","Public Utilities","CIS ERP Implementation","Undistributed Budget","512117"
"7342159","S11108","12","adopted","Water Fund","C700010","Public Utilities","Water Group 787","Undistributed Budget","512117"
"250000","S12007","12","adopted","Water Fund","C700010","Public Utilities","El Capitan Potable Water Segment","Undistributed Budget","512117"
"100000","S12008","12","adopted","Water Fund","C700010","Public Utilities","Catalina 12inch Cast Iron Mains","Undistributed Budget","512117"
"100000","S12009","12","adopted","Water Fund","C700010","Public Utilities","La Jolla Scenic Drive 16inch Main","Undistributed Budget","512117"
"100000","S12010","12","adopted","Water Fund","C700010","Public Utilities","30th Street Pipeline Replacement","Undistributed Budget","512117"
"250000","S12011","12","adopted","Water Fund","C700010","Public Utilities","69th & Mohawk Pump Station","Undistributed Budget","512117"
"100000","S12012","12","adopted","Water Fund","C700010","Public Utilities","Cielo & Woodman Pump Station","Undistributed Budget","512117"
"250000","S12013","12","adopted","Water Fund","C700010","Public Utilities","Alvarado 2nd Extension Pipeline","Undistributed Budget","512117"
"250000","S12014","12","adopted","Water Fund","C700010","Public Utilities","Recycled Water Tank Modifications","Undistributed Budget","512117"
"250000","S12015","12","adopted","Water Fund","C700010","Public Utilities","Pacific Beach Pipeline South (W)","Undistributed Budget","512117"
"100000","S12016","12","adopted","Water Fund","C700010","Public Utilities","Otay 1st/2nd PPL West of Highland Avenue","Undistributed Budget","512117"
"100000","S12017","12","adopted","Water Fund","C700010","Public Utilities","Del Mar Heights East Segment","Undistributed Budget","512117"
"168248","S12018","12","adopted","Water Fund","C700010","Public Utilities","Lower Otay Outlet Tower","Undistributed Budget","512117"
"1371531","AAA00002","12","adopted","Airport Funds","C700028","Airport Management","Brown Field","Undistributed Budget","512117"
"24260","S00773","12","adopted","Airport Funds","C700028","Airport Management","Brown Field Electrical Upgrade","Undistributed Budget","512117"
"1796497","AAA00001","12","adopted","Airport Funds","C700030","Airport Management","Montgomery-Gibbs Executive Airport","Undistributed Budget","512117"
"218222","S00680","12","adopted","Airport Funds","C700030","Airport Management","Montgomery Field Rehabilitation","Undistributed Budget","512117"
"115090","ABT00005","12","adopted","Refuse Disposal Fund","C700040","General Services","Environmental Services Facilities Improvements","Undistributed Budget","512117"
"270000","AFA00001","12","adopted","Refuse Disposal Fund","C700040","Environmental Services","Minor Improvements to Landfills","Undistributed Budget","512117"
"270000","AKC00001","12","adopted","Refuse Disposal Fund","C700040","Public Utilities","Groundwater Monitoring Network","Undistributed Budget","512117"
"1800000","S00682","12","adopted","Refuse Disposal Fund","C700040","Environmental Services","Arizona St Landfill Closure & Mods","Undistributed Budget","512117"
"1300000","S00684","12","adopted","Refuse Disposal Fund","C700040","Environmental Services","South Chollas Landfill Improvements","Undistributed Budget","512117"
